name,population,latitude,longitude,maxnoise
Sengkang Town Centre,54680,1.3909487,103.8951748,77.64562528003908
Sengkang West,10,1.3909487,103.8951748,77.64562528003908
Serangoon,120670,1.363236,103.8744617,75.9516014692284
Lorong Chuan,8390,1.3541321,103.8651253,75.15336303803794
Seletar Hills,13580,1.3854637,103.8656683,82.13102660782363
Serangoon Central,26480,1.3475734,103.8748122,73.63730855184482
Serangoon Garden,39180,1.3624579,103.8660127,76.56178661015974
Serangoon North,17490,1.3713383,103.8727563,77.57650648724426
Upper Paya Lebar,15540,1.3538993,103.887820526624,73.51485458451802
Simpang,0,1.4452954,103.8497425,81.58985799164567
Pulau Seletar,0,1.44378625,103.861596991664,82.92420461216294
Simpang North,0,1.4452954,103.8497425,81.58985799164567
Simpang South,0,1.4452954,103.8497425,81.58985799164567
Singapore River,2720,1.28917835,103.84515431766,69.0066677479959
Boat Quay,180,1.2856828,103.8507661,69.53676942178211
Clarke Quay,130,1.2903938,103.8454241,68.99426995243941
Robertson Quay,2420,1.29040905,103.83812675642,68.45913961513581
Southern Islands,1480,1.2710889,103.86328,71.00666730369069
Sentosa,1470,1.24894585,103.834305641593,69.17915748245483
Straits View,0,1.2782163,103.8525322,69.8846201334044
Straits View,0,1.2782163,103.8525322,69.8846201334044
Sungei Kadut,850,1.4149971,103.7533106,69.61218388892453
Gali Batu,130,1.3965351,103.774025,71.75101111227049
Kranji,20,1.4252189,103.7619891,70.2670842321484
Pang Sua,20,1.3941182,103.7524794,69.52019068573645
Reservoir View,20,1.340863,103.830391822121,72.96383073410412
Turf Club,660,1.4220553,103.764182069032,70.55061536964836
Tampines,261230,1.3546528,103.9435712,78.39438998805286
Simei,42710,1.3432581,103.9542015,81.884360659903
Tampines East,138500,1.3560253,103.955001,81.66456997294767
Tampines North,0,1.3678134,103.9374096,76.16869122114933
Tampines West,78110,1.3454122,103.9385357,77.80049405195659
Xilin,1920,1.3290801,103.965004,85.09786080341539
Tanglin,19000,1.3060443,103.8152804,68.93987579752798
Chatsworth,5740,1.29902585,103.8248887572,68.61785097423315
Nassim,8340,1.30659285,103.822992054526,69.1951940140651
Ridout,1400,1.3060771,103.8033316,68.54564571241397
Tyersall,3520,1.3117371,103.812435,69.30796428389164
Tengah,10,1.3669017,103.7108456,66.08271608920856
Tengah,10,1.3669017,103.7108456,66.08271608920856
Toa Payoh,124940,1.3353906,103.8497414,72.67741309528358
Bidadari,10,1.3352618,103.87216677548,72.22509241041716
Boon Teck,15110,1.3261225,103.8494543,71.54418245741783
Braddell,10760,1.3402775,103.8614324,73.207052824163
Joo Seng,6720,1.3355302,103.8833207,71.74279609765183
Kim Keat,8610,1.3294271,103.8532782,71.92688630472637
Lorong 8 Toa Payoh,8220,1.3363982,103.8597569,72.72625757474604
Pei Chun,11780,1.33707015,103.855686352513,72.87350489707407
Potong Pasir,12650,1.3341893,103.8670929,72.27063640913832
Sennett,4540,1.33198165,103.874479159811,71.76093050100461
Toa Payoh Central,30740,1.334272,103.8468546,72.5197324647321
Toa Payoh West,13360,1.3351603,103.8408909,72.55537524156802
Woodleigh,2440,1.3391966,103.8707535,72.75876333971611
Tuas,70,1.3293722,103.6482364,65.10011750654246
Tengeh,0,1.34623395,103.646593424376,64.37339709403118
Tuas Bay,20,1.3293722,103.6482364,65.10011750654246
Tuas North,20,1.3293722,103.6482364,65.10011750654246
Tuas View,10,1.3293722,103.6482364,65.10011750654246
Western Islands,0,1.24066895,104.201771658282,65.39219912630385
Semakau,0,1.20358545,103.769847592456,69.73589931870012
Sudong,0,1.2080635,103.719488623156,69.79249095867169
Western Water Catchment,900,1.3664522,103.6810305,64.46442081449389
Western Water Catchment,900,1.3664522,103.6810305,64.46442081449389
Woodlands,250290,1.436897,103.786216,72.52547788093506
Midview,35510,1.33940175,103.756891640277,68.12684605386416
Senoko West,20,1.4602965,103.8052452,73.16696815952179
Woodgrove,35850,1.42913595,103.781250348102,72.18627366306663
Woodlands East,95510,1.436897,103.786216,72.52547788093506
Woodlands Regional Centre,0,1.436897,103.786216,72.52547788093506
