name,population,latitude,longitude,maxnoise
Seletar Hills,13580,1.3854637,103.8656683,82.13102660782363
Serangoon Central,26480,1.3475734,103.8748122,80.31850236156808
Serangoon Garden,39180,1.3624579,103.8660127,78.92044354659004
Serangoon North,17490,1.3713383,103.8727563,79.50493523403608
Upper Paya Lebar,15540,1.3538993,103.887820526624,84.25162761758047
Simpang,0,1.4452954,103.8497425,81.58985799164567
Pulau Seletar,0,1.44378625,103.861596991664,82.92420461216294
Simpang North,0,1.4452954,103.8497425,81.58985799164567
Simpang South,0,1.4452954,103.8497425,81.58985799164567
Singapore River,2720,1.28917835,103.84515431766,75.43845346189565
Boat Quay,180,1.2856828,103.8507661,76.25100630524956
Clarke Quay,130,1.2903938,103.8454241,75.5015034613971
Robertson Quay,2420,1.29040905,103.83812675642,74.39961870014706
Southern Islands,1480,1.2710889,103.86328,77.79771514414779
Sentosa,1470,1.24894585,103.834305641593,74.4202163506943
Straits View,0,1.2782163,103.8525322,76.35817329089537
Straits View,0,1.2782163,103.8525322,76.35817329089537
Sungei Kadut,850,1.4149971,103.7533106,79.04113424860122
Gali Batu,130,1.3965351,103.774025,84.23224777712961
Kranji,20,1.4252189,103.7619891,78.56361298648899
Pang Sua,20,1.3941182,103.7524794,81.69265657660941
Reservoir View,20,1.340863,103.830391822121,76.40918049962755
Turf Club,660,1.4220553,103.764182069032,78.26038844659024
Tampines,261230,1.3546528,103.9435712,78.56496667509046
Simei,42710,1.3432581,103.9542015,81.884360659903
Tampines East,138500,1.3560253,103.955001,81.66456997294767
Tampines North,0,1.3678134,103.9374096,81.94960103230883
Tampines West,78110,1.3454122,103.9385357,78.82189116189505
Xilin,1920,1.3290801,103.965004,85.09786080341539
Tanglin,19000,1.3060443,103.8152804,73.97646786669925
Chatsworth,5740,1.29902585,103.8248887572,73.31589216314322
Nassim,8340,1.30659285,103.822992054526,73.99516124332709
Ridout,1400,1.3060771,103.8033316,73.93945914627861
Tyersall,3520,1.3117371,103.812435,74.38986604485125
Tengah,10,1.3669017,103.7108456,90.04223384794419
Tengah,10,1.3669017,103.7108456,90.04223384794419
Toa Payoh,124940,1.3353906,103.8497414,76.56694373748236
Bidadari,10,1.3352618,103.87216677548,80.08997060556223
Boon Teck,15110,1.3261225,103.8494543,75.6584442664693
Braddell,10760,1.3402775,103.8614324,77.30192469835733
Joo Seng,6720,1.3355302,103.8833207,83.3859715687285
Kim Keat,8610,1.3294271,103.8532782,76.16323924883363
Lorong 8 Toa Payoh,8220,1.3363982,103.8597569,77.20233482700674
Pei Chun,11780,1.33707015,103.855686352513,76.76550103020514
Potong Pasir,12650,1.3341893,103.8670929,78.91296702399094
Sennett,4540,1.33198165,103.874479159811,80.93189076528864
Toa Payoh Central,30740,1.334272,103.8468546,76.44022230502762
Toa Payoh West,13360,1.3351603,103.8408909,76.42606172695066
Woodleigh,2440,1.3391966,103.8707535,79.44604309595258
Tuas,70,1.3293722,103.6482364,75.81703744622486
Tengeh,0,1.34623395,103.646593424376,76.57622083257249
Tuas Bay,20,1.3293722,103.6482364,75.81703744622486
Tuas North,20,1.3293722,103.6482364,75.81703744622486
Tuas View,10,1.3293722,103.6482364,75.81703744622486
Western Islands,0,1.24066895,104.201771658282,65.39219912630385
Semakau,0,1.20358545,103.769847592456,85.25049661559406
Sudong,0,1.2080635,103.719488623156,100.37146093860088
Western Water Catchment,900,1.3664522,103.6810305,80.53964864638473
Western Water Catchment,900,1.3664522,103.6810305,80.53964864638473
Woodlands,250290,1.436897,103.786216,80.81367186497204
Midview,35510,1.33940175,103.756891640277,79.5757781623493
Senoko West,20,1.4602965,103.8052452,78.18505959295435
Woodgrove,35850,1.42913595,103.781250348102,81.1060874150487
Woodlands East,95510,1.436897,103.786216,80.81367186497204
Woodlands Regional Centre,0,1.436897,103.786216,80.81367186497204
Woodlands South,35840,1.4252493,103.7710242,79.17102954819558
Woodlands West,32890,1.436897,103.786216,80.81367186497204
Yishun,201970,1.428136,103.8336942,82.01435926840213
Khatib,10850,1.4173597,103.8330179,83.20226010045295
Lower Seletar,2870,1.411265,103.852135855657,89.11001673035395
Nee Soon,900,1.40961385,103.814648830065,86.56614796010842
Northland,30380,1.43571045,103.840719473428,81.78357801381917
Springleaf,3880,1.398315,103.818057261069,81.54038441336202
Yishun Central,1490,1.4304311,103.835527,81.7088300618736
Yishun East,54880,1.428136,103.8336942,82.01435926840213
Yishun South,38840,1.428136,103.8336942,82.01435926840213
